Date,Count,Date,District
2013-08-31,7455,2013-08-31,Northeastern
2013-09-30,7044,2013-09-30,Northeastern
2013-10-31,7060,2013-10-31,Northeastern
2013-11-30,6440,2013-11-30,Northeastern
2013-12-31,6537,2013-12-31,Northeastern
2014-01-31,6454,2014-01-31,Northeastern
2014-02-28,5815,2014-02-28,Northeastern
2014-03-31,7009,2014-03-31,Northeastern
2014-04-30,7176,2014-04-30,Northeastern
2014-05-31,7735,2014-05-31,Northeastern
2014-06-30,7684,2014-06-30,Northeastern
2014-07-31,7793,2014-07-31,Northeastern
2014-08-31,7701,2014-08-31,Northeastern
2014-09-30,7291,2014-09-30,Northeastern
2014-10-31,7286,2014-10-31,Northeastern
2014-11-30,6614,2014-11-30,Northeastern
2014-12-31,6731,2014-12-31,Northeastern
2015-01-31,6619,2015-01-31,Northeastern
2015-02-28,6004,2015-02-28,Northeastern
2015-03-31,7283,2015-03-31,Northeastern
2015-04-30,7515,2015-04-30,Northeastern
2015-05-31,8147,2015-05-31,Northeastern
2015-06-30,8183,2015-06-30,Northeastern
2015-07-31,8380,2015-07-31,Northeastern
2015-08-31,8345,2015-08-31,Northeastern
2015-09-30,8009,2015-09-30,Northeastern
2015-10-31,8075,2015-10-31,Northeastern
2015-11-30,7400,2015-11-30,Northeastern
2015-12-31,7542,2015-12-31,Northeastern
2016-01-31,7326,2016-01-31,Northeastern
2016-02-29,6749,2016-02-29,Northeastern
2016-03-31,7702,2016-03-31,Northeastern
2016-04-30,7756,2016-04-30,Northeastern
2016-05-31,8209,2016-05-31,Northeastern
2016-06-30,8091,2016-06-30,Northeastern
2016-07-31,8096,2016-07-31,Northeastern
2016-08-31,7923,2016-08-31,Northeastern
2016-09-30,7436,2016-09-30,Northeastern
2016-10-31,7341,2016-10-31,Northeastern
2016-11-30,6620,2016-11-30,Northeastern
2016-12-31,6673,2016-12-31,Northeastern
2017-01-31,6450,2017-01-31,Northeastern
2017-02-28,5748,2017-02-28,Northeastern
2017-03-31,6865,2017-03-31,Northeastern
2017-04-30,6934,2017-04-30,Northeastern
2017-05-31,7398,2017-05-31,Northeastern
2017-06-30,7306,2017-06-30,Northeastern
2017-07-31,7289,2017-07-31,Northeastern
2017-08-31,7129,2017-08-31,Northeastern
2017-09-30,6678,2017-09-30,Northeastern
2017-10-31,6557,2017-10-31,Northeastern
2017-11-30,5867,2017-11-30,Northeastern
2017-12-31,5882,2017-12-31,Northeastern
2018-01-31,5676,2018-01-31,Northeastern
2018-02-28,5032,2018-02-28,Northeastern
2018-03-31,6070,2018-03-31,Northeastern
2018-04-30,6140,2018-04-30,Northeastern
2018-05-31,6579,2018-05-31,Northeastern
2018-06-30,6570,2018-06-30,Northeastern
2018-07-31,6572,2018-07-31,Northeastern
2018-08-31,6598,2018-08-31,Northeastern
2018-09-30,6440,2018-09-30,Northeastern
2018-10-31,6649,2018-10-31,Northeastern
2018-11-30,6253,2018-11-30,Northeastern
2018-12-31,6573,2018-12-31,Northeastern
2019-01-31,6634,2019-01-31,Northeastern
2019-02-28,5963,2019-02-28,Northeastern
2019-03-31,7153,2019-03-31,Northeastern
2019-04-30,7282,2019-04-30,Northeastern
2019-05-31,7814,2019-05-31,Northeastern
2019-06-30,7752,2019-06-30,Northeastern
2019-07-31,7838,2019-07-31,Northeastern
2019-08-31,7732,2019-08-31,Northeastern
2019-09-30,7286,2019-09-30,Northeastern
2019-10-31,7281,2019-10-31,Northeastern
2019-11-30,6627,2019-11-30,Northeastern
2019-12-31,6693,2019-12-31,Northeastern
2020-01-31,6566,2020-01-31,Northeastern
2020-02-29,6112,2020-02-29,Northeastern
2020-03-31,7066,2020-03-31,Northeastern
2020-04-30,7203,2020-04-30,Northeastern
2020-05-31,7737,2020-05-31,Northeastern
2020-06-30,7683,2020-06-30,Northeastern
2020-07-31,7748,2020-07-31,Northeastern
2020-08-31,7628,2020-08-31,Northeastern
2020-09-30,7216,2020-09-30,Northeastern
2020-10-31,7200,2020-10-31,Northeastern
2020-11-30,6508,2020-11-30,Northeastern
2020-12-31,6619,2020-12-31,Northeastern
2021-01-31,6480,2021-01-31,Northeastern
2021-02-28,5812,2021-02-28,Northeastern
2021-03-31,6991,2021-03-31,Northeastern
2021-04-30,7130,2021-04-30,Northeastern
2021-05-31,7147,2021-05-31,Northeastern
