Date,Count,Date,Census_Tracts,PoliceDistrict
2015-11-08,44,2015-11-08,1002.0,Eastern
2015-11-15,68,2015-11-15,1002.0,Eastern
2015-11-22,48,2015-11-22,1002.0,Eastern
2015-11-29,44,2015-11-29,1002.0,Eastern
2015-12-06,61,2015-12-06,1002.0,Eastern
2015-12-13,79,2015-12-13,1002.0,Eastern
2015-12-20,50,2015-12-20,1002.0,Eastern
2015-12-27,53,2015-12-27,1002.0,Eastern
2016-01-03,52,2016-01-03,1002.0,Eastern
2016-01-10,42,2016-01-10,1002.0,Eastern
2016-01-17,56,2016-01-17,1002.0,Eastern
2016-01-24,40,2016-01-24,1002.0,Eastern
2016-01-31,44,2016-01-31,1002.0,Eastern
2016-02-07,48,2016-02-07,1002.0,Eastern
2016-02-14,50,2016-02-14,1002.0,Eastern
2016-02-21,47,2016-02-21,1002.0,Eastern
2016-02-28,39,2016-02-28,1002.0,Eastern
2016-03-06,57,2016-03-06,1002.0,Eastern
2016-03-13,53,2016-03-13,1002.0,Eastern
2016-03-20,35,2016-03-20,1002.0,Eastern
2016-03-27,62,2016-03-27,1002.0,Eastern
2016-04-03,46,2016-04-03,1002.0,Eastern
2016-04-10,51,2016-04-10,1002.0,Eastern
2016-04-17,47,2016-04-17,1002.0,Eastern
2016-04-24,68,2016-04-24,1002.0,Eastern
2016-05-01,74,2016-05-01,1002.0,Eastern
2016-05-08,53,2016-05-08,1002.0,Eastern
2016-05-15,47,2016-05-15,1002.0,Eastern
2016-05-22,34,2016-05-22,1002.0,Eastern
2016-05-29,69,2016-05-29,1002.0,Eastern
2016-06-05,70,2016-06-05,1002.0,Eastern
2016-06-12,51,2016-06-12,1002.0,Eastern
2016-06-19,68,2016-06-19,1002.0,Eastern
2016-06-26,54,2016-06-26,1002.0,Eastern
2016-07-03,70,2016-07-03,1002.0,Eastern
2016-07-10,58,2016-07-10,1002.0,Eastern
2016-07-17,72,2016-07-17,1002.0,Eastern
2016-07-24,84,2016-07-24,1002.0,Eastern
2016-07-31,60,2016-07-31,1002.0,Eastern
2016-08-07,72,2016-08-07,1002.0,Eastern
2016-08-14,53,2016-08-14,1002.0,Eastern
2016-08-21,50,2016-08-21,1002.0,Eastern
2016-08-28,57,2016-08-28,1002.0,Eastern
2016-09-04,77,2016-09-04,1002.0,Eastern
2016-09-11,67,2016-09-11,1002.0,Eastern
2016-09-18,85,2016-09-18,1002.0,Eastern
2016-09-25,67,2016-09-25,1002.0,Eastern
2016-10-02,47,2016-10-02,1002.0,Eastern
2016-10-09,67,2016-10-09,1002.0,Eastern
2016-10-16,42,2016-10-16,1002.0,Eastern
2016-10-23,51,2016-10-23,1002.0,Eastern
2016-10-30,62,2016-10-30,1002.0,Eastern
2016-11-06,66,2016-11-06,1002.0,Eastern
2016-11-13,69,2016-11-13,1002.0,Eastern
2016-11-20,53,2016-11-20,1002.0,Eastern
2016-11-27,54,2016-11-27,1002.0,Eastern
2016-12-04,47,2016-12-04,1002.0,Eastern
2016-12-11,47,2016-12-11,1002.0,Eastern
2016-12-18,76,2016-12-18,1002.0,Eastern
2016-12-25,55,2016-12-25,1002.0,Eastern
2017-01-01,39,2017-01-01,1002.0,Eastern
2017-01-08,45,2017-01-08,1002.0,Eastern
2017-01-15,54,2017-01-15,1002.0,Eastern
2017-01-22,77,2017-01-22,1002.0,Eastern
2017-01-29,51,2017-01-29,1002.0,Eastern
2017-02-05,63,2017-02-05,1002.0,Eastern
2017-02-12,47,2017-02-12,1002.0,Eastern
2017-02-19,53,2017-02-19,1002.0,Eastern
2017-02-26,70,2017-02-26,1002.0,Eastern
2017-03-05,65,2017-03-05,1002.0,Eastern
2017-03-12,54,2017-03-12,1002.0,Eastern
2017-03-19,50,2017-03-19,1002.0,Eastern
2017-03-26,48,2017-03-26,1002.0,Eastern
2017-04-02,62,2017-04-02,1002.0,Eastern
