STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Police_district_x,district
24,510,110100,24510110100,1101,1101.0,G5020,S,313921,0,39.3002458,-76.6128641,Central,11.0
24,510,280500,24510280500,2805,2805.0,G5020,S,923979,0,39.2951239,-76.6029382,Eastern,12.0
24,510,100200,24510100200,1002,1002.0,G5020,S,304692,0,39.2998552,-76.60226170000001,Eastern,12.0
24,510,100300,24510100300,1003,1003.0,G5020,S,156309,0,39.299511200000005,-76.609125,Eastern,12.0
24,510,120600,24510120600,1206,1206.0,G5020,S,504967,0,39.317088,-76.6175228,Central,12.0
24,510,030200,24510030200,302,302.0,G5020,S,504634,90482,39.286536299999995,-76.60226120000002,Central,12.0
24,510,120202,24510120202,1202.02,1202.02,G5020,S,981794,0,39.3286922,-76.6194426,Northern,12.0
24,510,080600,24510080600,806,806.0,G5020,S,336416,0,39.310418799999994,-76.5934776,Eastern,12.0
24,510,120700,24510120700,1207,1207.0,G5020,S,1050293,9367,39.318409499999994,-76.623529,Central,12.0
24,510,070400,24510070400,704,704.0,G5020,S,326989,0,39.3002032,-76.59284699999999,Eastern,12.0
24,510,120300,24510120300,1203,1203.0,G5020,S,403945,0,39.3199472,-76.6124858,Eastern,12.0
24,510,090800,24510090800,908,908.0,G5020,S,846053,0,39.3155244,-76.603691,Eastern,12.0
24,510,030100,24510030100,301,301.0,G5020,S,427427,0,39.2894076,-76.5965752,Southeastern,12.0
24,510,090900,24510090900,909,909.0,G5020,S,686864,0,39.3084221,-76.60359940000001,Eastern,12.0
24,510,120400,24510120400,1204,1204.0,G5020,S,281026,0,39.3138354,-76.61238399999999,Central,12.0
24,510,080800,24510080800,808,808.0,G5020,S,327456,0,39.3036982,-76.59305309999999,Eastern,12.0
24,510,100100,24510100100,1001,1001.0,G5020,S,453809,0,39.3032186,-76.6047442,Eastern,12.0
24,510,080700,24510080700,807,807.0,G5020,S,298756,0,39.3070324,-76.5932887,Eastern,12.0
24,510,070200,24510070200,702,702.0,G5020,S,311145,0,39.2996608,-76.5810142,Southeastern,13.0
24,510,060400,24510060400,604,604.0,G5020,S,430130,0,39.2950986,-76.5909176,Eastern,13.0
24,510,070100,24510070100,701,701.0,G5020,S,290634,0,39.2998323,-76.5754298,Eastern,13.0
24,510,070300,24510070300,703,703.0,G5020,S,228689,0,39.299499100000006,-76.58593959999999,Eastern,13.0
24,510,080302,24510080302,803.02,803.02,G5020,S,439533,0,39.305921500000004,-76.57643399999999,Eastern,13.0
24,510,060300,24510060300,603,603.0,G5020,S,187108,0,39.2942438,-76.58551059999999,Eastern,13.0
24,510,260301,24510260301,2603.01,2603.01,G5020,S,607369,0,39.32212620000001,-76.5666573,Northeastern,13.0
